XtID,tID,Gene_Symbol
X2792166,2792166,X2792166
X3687752,3687752,X3687752
X3819522,3819522,X3819522
X2536298,2536298,X2536298
X2873897,2873897,X2873897
X3947227,3947227,X3947227
X2598661,2598661,X2598661
X3764527,3764527,X3764527
X3258092,3258092,X3258092
X3936951,3936951,X3936951
X3936984,3936984,X3936984
X2801608,2801608,X2801608
X4019486,4019486,X4019486
X2512330,2512330,X2512330
X2997097,2997097,X2997097
X3286921,3286921,X3286921
X2828716,2828716,X2828716
X2875454,2875454,X2875454
X3418513,3418513,X3418513
X3735847,3735847,X3735847
X3766013,3766013,X3766013
X2569908,2569908,X2569908
X2849859,2849859,X2849859
X2732273,2732273,X2732273
X3678343,3678343,X3678343
X3051800,3051800,X3051800
X2421271,2421271,X2421271
X3872817,3872817,A1BG
X3289445,3289445,A1CF
X3646613,3646613,A2BP1
X3647046,3647046,A2BP1
X3443348,3443348,A2M
X3403889,3403889,A2ML1
X3962578,3962578,A4GALT
X2697308,2697308,A4GNT
X3045338,3045338,AAA1
X3456130,3456130,AAAS
X3436571,3436571,AACS
X2320977,2320977,AADACL3
X2793441,2793441,AADAT
X3630450,3630450,AAGAB
X2487297,2487297,AAK1
X2558150,2558150,AAK1
X2599345,2599345,AAMP
X3697015,3697015,AARS
X2955118,2955118,AARS2
X3758234,3758234,AARSD1
X2770193,2770193,AASDH
X3347234,3347234,AASDHPPT
X3389593,3389593,AASDHPPT
X3070183,3070183,AASS
X3719362,3719362,AATF
X3773594,3773594,AATK
X3647421,3647421,ABAT
X3218528,3218528,ABCA1
X3768880,3768880,ABCA10
X2756309,2756309,ABCA11P
X2598145,2598145,ABCA12
X3000984,3000984,ABCA13
X3644715,3644715,ABCA17P
X3230610,3230610,ABCA2
X3676763,3676763,ABCA3
X2423669,2423669,ABCA4
X3768965,3768965,ABCA5
X3768967,3768967,ABCA5
X3768969,3768969,ABCA5
X3768791,3768791,ABCA6
X3815416,3815416,ABCA7
X3768627,3768627,ABCA8
X3768703,3768703,ABCA9
X3060182,3060182,ABCB1
X2459924,2459924,ABCB10
X2585972,2585972,ABCB11
X2991995,2991995,ABCB5
X2599993,2599993,ABCB6
X4012949,4012949,ABCB7
X3031754,3031754,ABCB8
X3031792,3031792,ABCB8
X3475879,3475879,ABCB9
X3649890,3649890,ABCC1
X2907943,2907943,ABCC10
X3690388,3690388,ABCC12
X3260447,3260447,ABCC2
X3726691,3726691,ABCC3
X3521174,3521174,ABCC4
X2708287,2708287,ABCC5
X3682182,3682182,ABCC6
X3364878,3364878,ABCC8
X3446919,3446919,ABCC9
X3450857,3450857,ABCD2
X3450859,3450859,ABCD2
X3450861,3450861,ABCD2
X2347502,2347502,ABCD3
X3571810,3571810,ABCD4
X2746024,2746024,ABCE1
X2901687,2901687,ABCF1
X3079463,3079463,ABCF2
X2655511,2655511,ABCF3
X3922444,3922444,ABCG1
X2777276,2777276,ABCG2
X3351975,3351975,ABCG4
X2550755,2550755,ABCG5
X2479560,2479560,ABCG8
X2474265,2474265,ABHD1
X2635983,2635983,ABHD10
X3056264,3056264,ABHD11
X3901851,3901851,ABHD12
X3535307,3535307,ABHD12B
X3500772,3500772,ABHD13
X2623426,2623426,ABHD14A
X2675836,2675836,ABHD14B
X3607447,3607447,ABHD2
X3607503,3607503,ABHD2
X3800834,3800834,ABHD3
X3528759,3528759,ABHD4
X2619761,2619761,ABHD5
X2626097,2626097,ABHD6
X3854349,3854349,ABHD8
X3282016,3282016,ABI1
X2523689,2523689,ABI2
X3725602,3725602,ABI3
X2686458,2686458,ABI3BP
X3191724,3191724,ABL1
X2446047,2446047,ABL2
X3307939,3307939,ABLIM1
X3308120,3308120,ABLIM1
X2759654,2759654,ABLIM2
X2834863,2834863,ABLIM3
X3228612,3228612,ABO
X3031650,3031650,ABP1
X3739962,3739962,ABR
X2899519,2899519,ABT1
X2640916,2640916,ABTB1
X3368940,3368940,ABTB2
X2669533,2669533,ACAA1
X3807569,3807569,ACAA2
X3754469,3754469,ACACA
X3430959,3430959,ACACB
X3432030,3432030,ACAD10
X2695648,2695648,ACAD11
X3357303,3357303,ACAD8
X2641341,2641341,ACAD9
X2694520,2694520,ACAD9
X2597347,2597347,ACADL
X2342576,2342576,ACADM
X3268588,3268588,ACADSB
X3708306,3708306,ACADVL
X3708462,3708462,ACAP1
X2712040,2712040,ACAP2
X2391302,2391302,ACAP3
X3347615,3347615,ACAT1
X2934131,2934131,ACAT2
X2458701,2458701,ACBD3
X3723317,3723317,ACBD4
X3282268,3282268,ACBD5
X2446447,2446447,ACBD6
X3279058,3279058,ACBD7
X3752888,3752888,ACCN1
X3414351,3414351,ACCN2
X3031800,3031800,ACCN3
X2528645,2528645,ACCN4
X2790999,2790999,ACCN5
X3328349,3328349,ACCS
X3695786,3695786,ACD
X3730601,3730601,ACE
X4000605,4000605,ACE2
X3164312,3164312,ACER2
X3341061,3341061,ACER3
X3064361,3064361,ACHE
X3557106,3557106,ACIN1
X3757433,3757433,ACLY
X3013952,3013952,ACN9
X3166477,3166477,ACO1
X3166535,3166535,ACO1
X3946889,3946889,ACO2
X3543673,3543673,ACOT1
X2337147,2337147,ACOT11
X2864796,2864796,ACOT12
X2898562,2898562,ACOT13
X2898575,2898575,ACOT13
X2898577,2898577,ACOT13
X3543714,3543714,ACOT4
X3543727,3543727,ACOT6
X2394626,2394626,ACOT7
X3907473,3907473,ACOT8
X4002741,4002741,ACOT9
X3771215,3771215,ACOX1
X2678400,2678400,ACOX2
X2759857,2759857,ACOX3
X2500165,2500165,ACOXL
X2466141,2466141,ACP1
X3372097,3372097,ACP2
X3851072,3851072,ACP5
X2433371,2433371,ACP6
X2645387,2645387,ACPL2
X2642720,2642720,ACPP
X3442150,3442150,ACRBP
X3981164,3981164,ACRC
X3396660,3396660,ACRV1
