"","scorecutoff","tissue","which.one","gene","ensgene","module","p.val.mods"
"ENSG00000184389","1","cogdnotxad","rosmap","ENSG00000184389","ENSG00000184389","void","1"
"ENSG00000188984","1","cogdnotxad","rosmap","ENSG00000188984","ENSG00000188984","void","1"
"ENSG00000204518","1","cogdnotxad","rosmap","ENSG00000204518","ENSG00000204518","void","1"
"ENSG00000198691","1","cogdnotxad","rosmap","ENSG00000198691","ENSG00000198691","darkolivegreen","0.09873"
"ENSG00000135776","1","cogdnotxad","rosmap","ENSG00000135776","ENSG00000135776","darkslateblue","0.9963"
"ENSG00000117528","1","cogdnotxad","rosmap","ENSG00000117528","ENSG00000117528","darkorange2","0.001981"
"ABHD7","1","cogdnotxad","rosmap","ABHD7","ABHD7","void","1"
"ENSG00000143322","1","cogdnotxad","rosmap","ENSG00000143322","ENSG00000143322","midnightblue","0.054"
"ENSG00000117054","1","cogdnotxad","rosmap","ENSG00000117054","ENSG00000117054","ivory","5.414e-07"
"ENSG00000182827","1","cogdnotxad","rosmap","ENSG00000182827","ENSG00000182827","grey60","1"
"ENSG00000135847","1","cogdnotxad","rosmap","ENSG00000135847","ENSG00000135847","blue","0.9971"
"ENSG00000162390","1","cogdnotxad","rosmap","ENSG00000162390","ENSG00000162390","lightcyan1","0.1708"
"ENSG00000097021","1","cogdnotxad","rosmap","ENSG00000097021","ENSG00000097021","darkturquoise","0.3335"
"ENSG00000162836","1","cogdnotxad","rosmap","ENSG00000162836","ENSG00000162836","darkorange2","0.001981"
"ENSG00000143632","1","cogdnotxad","rosmap","ENSG00000143632","ENSG00000143632","darkolivegreen","0.09873"
"ENSG00000117148","1","cogdnotxad","rosmap","ENSG00000117148","ENSG00000117148","void","1"
"ENSG00000077522","1","cogdnotxad","rosmap","ENSG00000077522","ENSG00000077522","darkolivegreen","0.09873"
"ENSG00000169717","1","cogdnotxad","rosmap","ENSG00000169717","ENSG00000169717","void","1"
"ENSG00000143537","1","cogdnotxad","rosmap","ENSG00000143537","ENSG00000143537","lightgreen","0.8457"
"ENSG00000134249","1","cogdnotxad","rosmap","ENSG00000134249","ENSG00000134249","void","1"
"ENSG00000158859","1","cogdnotxad","rosmap","ENSG00000158859","ENSG00000158859","blue","0.9971"
"ENSG00000143382","1","cogdnotxad","rosmap","ENSG00000143382","ENSG00000143382","black","2.599e-11"
"ENSG00000160710","1","cogdnotxad","rosmap","ENSG00000160710","ENSG00000160710","lightpink4","0.01634"
"ENSG00000142920","1","cogdnotxad","rosmap","ENSG00000142920","ENSG00000142920","lightgreen","0.8457"
"ENSG00000159346","1","cogdnotxad","rosmap","ENSG00000159346","ENSG00000159346","plum2","0.003351"
"ENSG00000163485","1","cogdnotxad","rosmap","ENSG00000163485","ENSG00000163485","brown4","0.5351"
"ENSG00000121933","1","cogdnotxad","rosmap","ENSG00000121933","ENSG00000121933","tan","7.401e-07"
"ENSG00000116863","1","cogdnotxad","rosmap","ENSG00000116863","ENSG00000116863","cyan","0.7456"
"ENSG00000035687","1","cogdnotxad","rosmap","ENSG00000035687","ENSG00000035687","darkslateblue","0.9963"
"AFAR3","1","cogdnotxad","rosmap","AFAR3","AFAR3","void","1"
"ENSG00000186094","1","cogdnotxad","rosmap","ENSG00000186094","ENSG00000186094","darkgreen","0.9493"
"ENSG00000162688","1","cogdnotxad","rosmap","ENSG00000162688","ENSG00000162688","blue","0.9971"
"ENSG00000116771","1","cogdnotxad","rosmap","ENSG00000116771","ENSG00000116771","grey60","1"
"ENSG00000188157","1","cogdnotxad","rosmap","ENSG00000188157","ENSG00000188157","skyblue","3.291e-06"
"ENSG00000135744","1","cogdnotxad","rosmap","ENSG00000135744","ENSG00000135744","lightcyan","0.8078"
"ENSG00000177674","1","cogdnotxad","rosmap","ENSG00000177674","ENSG00000177674","mediumpurple3","0.1716"
"ENSG00000153207","1","cogdnotxad","rosmap","ENSG00000153207","ENSG00000153207","darkturquoise","0.3335"
"ENSG00000168710","1","cogdnotxad","rosmap","ENSG00000168710","ENSG00000168710","mediumpurple3","0.1716"
"ENSG00000126705","1","cogdnotxad","rosmap","ENSG00000126705","ENSG00000126705","lightyellow","0.05217"
"ENSG00000186063","1","cogdnotxad","rosmap","ENSG00000186063","ENSG00000186063","green","0.003341"
"ENSG00000176092","1","cogdnotxad","rosmap","ENSG00000176092","ENSG00000176092","void","1"
"ENSG00000163568","1","cogdnotxad","rosmap","ENSG00000163568","ENSG00000163568","void","1"
"ENSG00000196581","1","cogdnotxad","rosmap","ENSG00000196581","ENSG00000196581","yellow","0.9861"
"ENSG00000004455","1","cogdnotxad","rosmap","ENSG00000004455","ENSG00000004455","magenta","1.356e-05"
"AK3L1","1","cogdnotxad","rosmap","AK3L1","AK3L1","void","1"
"ENSG00000154027","1","cogdnotxad","rosmap","ENSG00000154027","ENSG00000154027","plum1","2.509e-14"
"ENSG00000174574","1","cogdnotxad","rosmap","ENSG00000174574","ENSG00000174574","darkturquoise","0.3335"
"ENSG00000117448","1","cogdnotxad","rosmap","ENSG00000117448","ENSG00000117448","steelblue","0.05112"
"ENSG00000053371","1","cogdnotxad","rosmap","ENSG00000053371","ENSG00000053371","darkorange2","0.001981"
"ENSG00000162482","1","cogdnotxad","rosmap","ENSG00000162482","ENSG00000162482","lightgreen","0.8457"
"ENSG00000117020","1","cogdnotxad","rosmap","ENSG00000117020","ENSG00000117020","yellowgreen","0.6676"
"ENSG00000159423","1","cogdnotxad","rosmap","ENSG00000159423","ENSG00000159423","navajowhite2","0.9996"
"ENSG00000143149","1","cogdnotxad","rosmap","ENSG00000143149","ENSG00000143149","darkorange2","0.001981"
"ENSG00000172339","1","cogdnotxad","rosmap","ENSG00000172339","ENSG00000172339","navajowhite2","0.9996"
"ENSG00000088035","1","cogdnotxad","rosmap","ENSG00000088035","ENSG00000088035","lightcyan","0.8078"
"ENSG00000162551","1","cogdnotxad","rosmap","ENSG00000162551","ENSG00000162551","salmon4","9.573e-06"
"ENSG00000156150","1","cogdnotxad","rosmap","ENSG00000156150","ENSG00000156150","mediumpurple3","0.1716"
