"","tissue","which.one","scorecutoff","module","gene","pvalue"
"1","cogdnotxad","rosmap","1","steelblue","AKR1A1","0.527"
"2","cogdnotxad","rosmap","1","steelblue","ARV1","0.573"
"3","cogdnotxad","rosmap","1","steelblue","AURKAIP1","0.17809"
"4","cogdnotxad","rosmap","1","steelblue","C1orf123","0.208"
"5","cogdnotxad","rosmap","1","steelblue","DDX59","0.525"
"6","cogdnotxad","rosmap","1","steelblue","DNAJC8","0.811"
"7","cogdnotxad","rosmap","1","steelblue","DPM3","0.17602"
"8","cogdnotxad","rosmap","1","steelblue","EIF2B3","0.10848"
"9","cogdnotxad","rosmap","1","steelblue","FAF1","0.319"
"10","cogdnotxad","rosmap","1","steelblue","FAM159A","0.423"
"11","cogdnotxad","rosmap","1","steelblue","FH","0.611"
"12","cogdnotxad","rosmap","1","steelblue","GNL2","0.09334"
"13","cogdnotxad","rosmap","1","steelblue","GPX7","0.239"
"14","cogdnotxad","rosmap","1","steelblue","KLHDC9","0.12298"
"15","cogdnotxad","rosmap","1","steelblue","LYPLAL1","0.627"
"16","cogdnotxad","rosmap","1","steelblue","MRPL20","0.21417"
"17","cogdnotxad","rosmap","1","steelblue","MRPL24","0.06852"
"18","cogdnotxad","rosmap","1","steelblue","MRPS21","0.9"
"19","cogdnotxad","rosmap","1","steelblue","MTX1","0.704"
"20","cogdnotxad","rosmap","1","steelblue","NDUFS5","0.895"
"21","cogdnotxad","rosmap","1","steelblue","NRD1","0.52673"
"22","cogdnotxad","rosmap","1","steelblue","PARK7","0.507"
"23","cogdnotxad","rosmap","1","steelblue","PEX11B","0.673"
"24","cogdnotxad","rosmap","1","steelblue","PFDN2","0.09762"
"25","cogdnotxad","rosmap","1","steelblue","PPM1J","0.362"
"26","cogdnotxad","rosmap","1","steelblue","PSMA5","0.624"
"27","cogdnotxad","rosmap","1","steelblue","PSMD4","0.816"
"28","cogdnotxad","rosmap","1","steelblue","RPS27","0.6"
"29","cogdnotxad","rosmap","1","steelblue","SMYD3","0.01332"
"30","cogdnotxad","rosmap","1","steelblue","SNRPE","0.657"
"31","cogdnotxad","rosmap","1","steelblue","TBCE","0.356"
"32","cogdnotxad","rosmap","1","steelblue","UROD","0.278"
"33","cogdnotxad","rosmap","1","steelblue","VPS45","0.10542"
"34","cogdnotxad","rosmap","1","steelblue","YTHDF2","0.973"
"35","cogdnotxad","rosmap","1","steelblue","ATIC","0.598"
"36","cogdnotxad","rosmap","1","steelblue","COMMD1","0.574"
"37","cogdnotxad","rosmap","1","steelblue","COX5B","0.754"
"38","cogdnotxad","rosmap","1","steelblue","CRYBA2","0.712"
"39","cogdnotxad","rosmap","1","steelblue","DCTN1","0.781"
"40","cogdnotxad","rosmap","1","steelblue","DGUOK","0.551"
"41","cogdnotxad","rosmap","1","steelblue","EEF1B2","0.525"
"42","cogdnotxad","rosmap","1","steelblue","EIF2B4","0.239"
"43","cogdnotxad","rosmap","1","steelblue","IAH1","0.478"
"44","cogdnotxad","rosmap","1","steelblue","MRPL53","0.706"
"45","cogdnotxad","rosmap","1","steelblue","MRPS9","0.489"
"46","cogdnotxad","rosmap","1","steelblue","MYEOV2","0.01334"
"47","cogdnotxad","rosmap","1","steelblue","NFU1","0.26248"
"48","cogdnotxad","rosmap","1","steelblue","PNKD","0.20469"
"49","cogdnotxad","rosmap","1","steelblue","PSMD1","0.204"
"50","cogdnotxad","rosmap","1","steelblue","RNF181","0.748"
"51","cogdnotxad","rosmap","1","steelblue","SF3B14","0.464"
"52","cogdnotxad","rosmap","1","steelblue","TMEM163","0.15424"
"53","cogdnotxad","rosmap","1","steelblue","TMSB10","0.857"
"54","cogdnotxad","rosmap","1","steelblue","ANAPC13","0.241"
"55","cogdnotxad","rosmap","1","steelblue","ATR","0.827"
