"","tissue","which.one","scorecutoff","module","gene","pvalue"
"1","cogdxad","rosmap","1","yellow","ACBD6","0.251"
"2","cogdxad","rosmap","1","yellow","ADC","0.232"
"3","cogdxad","rosmap","1","yellow","AKR1A1","0.527"
"4","cogdxad","rosmap","1","yellow","APH1A","0.904"
"5","cogdxad","rosmap","1","yellow","B3GALT6","0.506"
"6","cogdxad","rosmap","1","yellow","BEST4","0.18376"
"7","cogdxad","rosmap","1","yellow","C1orf85","0.08916"
"8","cogdxad","rosmap","1","yellow","C1orf86","0.748"
"9","cogdxad","rosmap","1","yellow","CYB5R1","0.439"
"10","cogdxad","rosmap","1","yellow","EPHA10","0.72"
"11","cogdxad","rosmap","1","yellow","FUCA1","0.585"
"12","cogdxad","rosmap","1","yellow","GALE","0.417"
"13","cogdxad","rosmap","1","yellow","GBA","0.949"
"14","cogdxad","rosmap","1","yellow","GPATCH3","0.10189"
"15","cogdxad","rosmap","1","yellow","HMGCL","0.534"
"16","cogdxad","rosmap","1","yellow","HYI","0.866"
"17","cogdxad","rosmap","1","yellow","JMJD4","0.399"
"18","cogdxad","rosmap","1","yellow","MEGF6","0.881"
"19","cogdxad","rosmap","1","yellow","MORN1","0.10503"
"20","cogdxad","rosmap","1","yellow","MRPL55","0.601"
"21","cogdxad","rosmap","1","yellow","MTX1","0.704"
"22","cogdxad","rosmap","1","yellow","NENF","0.327"
"23","cogdxad","rosmap","1","yellow","OAZ3","0.05295"
"24","cogdxad","rosmap","1","yellow","OXCT2","0.82"
"25","cogdxad","rosmap","1","yellow","PEX10","0.829"
"26","cogdxad","rosmap","1","yellow","PMF1","0.09215"
"27","cogdxad","rosmap","1","yellow","PSEN2","0.528"
"28","cogdxad","rosmap","1","yellow","RNPEP","0.405"
"29","cogdxad","rosmap","1","yellow","S100A2","0.469"
"30","cogdxad","rosmap","1","yellow","SLC45A1","0.1048"
"31","cogdxad","rosmap","1","yellow","SPAG17","0.18929"
"32","cogdxad","rosmap","1","yellow","TMEM222","0.597"
"33","cogdxad","rosmap","1","yellow","TMEM52","0.523"
"34","cogdxad","rosmap","1","yellow","TNFRSF14","0.586"
"35","cogdxad","rosmap","1","yellow","ZNF496","0.947"
"36","cogdxad","rosmap","1","yellow","ANKRD39","0.01933"
"37","cogdxad","rosmap","1","yellow","CCDC150","0.761"
"38","cogdxad","rosmap","1","yellow","CHCHD5","0.729"
"39","cogdxad","rosmap","1","yellow","CTDSP1","0.07682"
"40","cogdxad","rosmap","1","yellow","D2HGDH","0.811"
"41","cogdxad","rosmap","1","yellow","DIS3L2","0.03039"
"42","cogdxad","rosmap","1","yellow","HAAO","0.177"
"43","cogdxad","rosmap","1","yellow","NOSTRIN","0.992"
"44","cogdxad","rosmap","1","yellow","PDK1","0.381"
"45","cogdxad","rosmap","1","yellow","PROC","0.542"
"46","cogdxad","rosmap","1","yellow","PSD4","0.26"
"47","cogdxad","rosmap","1","yellow","RAB17","0.02014"
"48","cogdxad","rosmap","1","yellow","RNF25","0.839"
"49","cogdxad","rosmap","1","yellow","SFXN5","0.654"
"50","cogdxad","rosmap","1","yellow","SMARCAL1","0.292"
"51","cogdxad","rosmap","1","yellow","SNTG2","0.27802"
"52","cogdxad","rosmap","1","yellow","THNSL2","0.18247"
"53","cogdxad","rosmap","1","yellow","TMEM18","0.144"
"54","cogdxad","rosmap","1","yellow","ZFAND2B","0.21992"
"55","cogdxad","rosmap","1","yellow","ACAD9","0.481"
"56","cogdxad","rosmap","1","yellow","APEH","0.995"
"57","cogdxad","rosmap","1","yellow","B4GALT4","0.588"
"58","cogdxad","rosmap","1","yellow","CCDC71","0.2913"
"59","cogdxad","rosmap","1","yellow","CHCHD6","0.905"
"60","cogdxad","rosmap","1","yellow","CYB561D2","0.743"
"61","cogdxad","rosmap","1","yellow","DALRD3","0.466"
"62","cogdxad","rosmap","1","yellow","DHFRL1","0.675"
"63","cogdxad","rosmap","1","yellow","GHRL","0.452"
"64","cogdxad","rosmap","1","yellow","GLYCTK","0.794"
"65","cogdxad","rosmap","1","yellow","HRASLS","0.499"
"66","cogdxad","rosmap","1","yellow","IL17RC","0.482"
"67","cogdxad","rosmap","1","yellow","IL17RE","0.356"
"68","cogdxad","rosmap","1","yellow","MAPKAPK3","0.482"
"69","cogdxad","rosmap","1","yellow","MCM2","0.601"
"70","cogdxad","rosmap","1","yellow","MTMR14","0.385"
"71","cogdxad","rosmap","1","yellow","NAT6","0.731"
"72","cogdxad","rosmap","1","yellow","NIT2","0.663"
"73","cogdxad","rosmap","1","yellow","PARL","0.234"
"74","cogdxad","rosmap","1","yellow","RAD54L2","0.149"
"75","cogdxad","rosmap","1","yellow","SLC38A3","0.19821"
"76","cogdxad","rosmap","1","yellow","TREX1","0.30721"
"77","cogdxad","rosmap","1","yellow","AGA","0.433"
"78","cogdxad","rosmap","1","yellow","ALB","0.657"
"79","cogdxad","rosmap","1","yellow","CCDC96","0.17"
"80","cogdxad","rosmap","1","yellow","GRK4","0.263"
"81","cogdxad","rosmap","1","yellow","MFSD7","0.248"
"82","cogdxad","rosmap","1","yellow","MYL5","0.168"
"83","cogdxad","rosmap","1","yellow","B4GALT7","0.0359"
"84","cogdxad","rosmap","1","yellow","CCNH","0.958"
"85","cogdxad","rosmap","1","yellow","DAP","0.895"
"86","cogdxad","rosmap","1","yellow","SIL1","0.621"
"87","cogdxad","rosmap","1","yellow","HLA-DOB","0.08062"
"88","cogdxad","rosmap","1","yellow","NHLRC1","0.516"
"89","cogdxad","rosmap","1","yellow","TREML1","0.00121"
"90","cogdxad","rosmap","1","yellow","ARF5","0.11"
"91","cogdxad","rosmap","1","yellow","ASL","0.12682"
"92","cogdxad","rosmap","1","yellow","ATP6V0E2","0.866"
"93","cogdxad","rosmap","1","yellow","C7orf50","0.382"
"94","cogdxad","rosmap","1","yellow","DBNL","0.679"
"95","cogdxad","rosmap","1","yellow","DNAJC30","0.08288"
"96","cogdxad","rosmap","1","yellow","GATS","0.000257"
"97","cogdxad","rosmap","1","yellow","MAD1L1","0.06026"
"98","cogdxad","rosmap","1","yellow","MOSPD3","0.393"
"99","cogdxad","rosmap","1","yellow","POLM","0.713"
"100","cogdxad","rosmap","1","yellow","POMZP3","0.442"
"101","cogdxad","rosmap","1","yellow","SNX8","0.4"
"102","cogdxad","rosmap","1","yellow","STK31","0.776"
"103","cogdxad","rosmap","1","yellow","SUMF2","0.203"
