D_NEuronCom1,D_NEuronCom2,D_NEuronCom3,D_NEuronCom4,D_NEuronCom5,D_NEuronCom6,D_NEuronCom7
COL16A1,B2M,CPLX3,ANO3,C8ORF4,COL11A1,AGPAT9
CMKLR1,,FCRL4,C1orf115,CRHBP,CPNE2,C4BPA
EYA1,,FSCN3,CHN1,FCRLB,CTTNBP2,GLYCTK
PAX6,,KANK2,CPNE4,HGF,GAL3ST1,RBP2
,,LAMP5,FOXP2,KIAA0226L,IQGAP2,RRP7B
,,LOC641364,HTR2A,LHX6,SLC22A3,SAP25
,,NMBR,IPCEF1,PVALB,SVEP1,SOLH
,,PIP5K1B,KCNMB4,RGS5,TAC3,TMCO4
,,PROK2,KCNV1,SNCG,VIP,TRIM34
,,SPARC,KHDRBS3,SPARCL1,VWDE,
,,SV2C,LMO4,ST8SIA4,,
,,,LRMP,TAC1,,
,,,NEUROD6,TMEM132C,,
,,,NPTX1,VAX1,,
,,,PDE1A,WNT16,,
,,,PRDM8,,,
,,,PTPRK,,,
,,,RASL10A,,,
,,,RYR2,,,
,,,SATB2,,,
,,,SLC17A7,,,
,,,SV2B,,,
,,,XYLT1,,,
