Cerebellum_Purkinje_Neuroexpresso,Cerebellum_Basket_Neuroexpresso,Cerebellum_Granule_Neuroexpresso,Cerebellum_Golgi_Neuroexpresso,Cerebellum_Microglia_Neuroexpresso,Cerebellum_MicrogliaActivation_Neuroexpresso,Cerebellum_MicrogliaDeactivation_Neuroexpresso,Cerebellum_Oligo_Neuroexpresso,Cerebellum_Bergmann_Neuroexpresso
SMPX,CXCL12,TBATA,SGCG,HCLS1,IL6,ARHGAP9,ENPP2,GLI1
LHX5,SOCS2,BOC,CACNG3,FERMT3,MYD88,CD48,POU3F1,S100A11
DGKG,NTN1,UNCX,CDA,APOBEC1,MLXIP,PLD1,PDLIM2,WIF1
DOC2B,PARM1,CBLN3,GDNF,LAG3,CSF2RB,PTPN18,ELOVL7,BCAR3
BCL11A,KIT,OTX2,NPPC,CLIC1,CXCL10,PTPN6,RAPGEF3,KCNE5
EBF2,TFAP2B,,CPLX3,RGS1,TUBA1C,ZFP36L2,IL33,VEGFC
GIPC2,SORCS3,,ELAVL2,CHIA,FRRS1,EDEM1,KCTD4,FGFR3
PTPRR,,,RASGRP2,FYB1,CEP152,RGL2,ASPA,FAM227B
STAC,,,HSPB8,CTSS,ASXL1,CLEC7A,GJB1,NPY
HOMER3,,,LRRTM1,HLA-A,TLR2,JUN,MOBP,PTH1R
IGFBP3,,,RAB3B,HLA-G,SLC15A3,TGIF1,LPAR1,PLTP
GRIK1,,,LYPD1,RRBP1,SPINT1,HVCN1,ANLN,CD70
NRK,,,CGREF1,STAT6,RNASEL,RGS2,OLIG2,MOB3B
B3GNT5,,,LGI1,SRSF7,RAB3IL1,LRP1,GATM,IRX5
PPP1R17,,,MCUB,SSFA2,TGM2,HLA-A,GPR37,EVC
PTPN2,,,C1QL3,ADGRG1,SLC39A8,HLA-G,FBXO32,NTSR2
EPS8L2,,,SERPINB1,LPCAT3,TUBB6,IRF8,FA2H,ABI3BP
ITPKA,,,SLC35F4,SGPL1,GBP7,SOX4,MSANTD3-TMEFF1,CXCL14
RGS8,,,KLK1,IER5,GBP4,TNFRSF1B,ST6GALNAC3,FAM181B
SLC1A6,,,FLT4,MLXIPL,ARPC1B,P2RY12,NDRG1,ELOVL2
