Cortex_Pyramidal_Neuroexpresso,Cortex_Astrocyte_Neuroexpresso,Cortex_Endothelial_Neuroexpresso,Cortex_GabaPV_Neuroexpresso,Cortex_GabaRelnCalb_Neuroexpresso,Cortex_GabaVIPReln_Neuroexpresso,Cortex_Microglia_Neuroexpresso,Cortex_MicrogliaActivation_Neuroexpresso,Cortex_MicrogliaDeactivation_Neuroexpresso,Cortex_Oligo_Neuroexpresso,Cortex_OligoPrecursors_Neuroexpresso
KCNV1,CCDC69,ATG4A,OSTN,FIBCD1,CRISPLD2,NHLRC1,MYC,HEXB,ANO4,CPA4
SLC17A7,A2M,EPHB4,KCNMB2,TMTC4,VIP,CFH,NPL,IL10RA,MAG,MKRN3
PTK2B,TTYH1,TPM4,NGF,PROKR2,SP8,NRM,GLIPR1,MYO1G,ENPP6,CHST5
RASGEF1A,CIDEB,IRGM,ADAMTS15,HPSE,SERPINA3,RAB19,TPM3,LGMN,CERS2,CDO1
RGS14,TMEM52,GBP6,GABRD,CDH4,EGLN3,PALD1,GAS5,ABCC3,KIF13B,CHAF1B
GLT8D2,GABRG1,STARD8,TMEM132C,GAL,RGN,QRFP,HFE,HHEX,FNBP1,FAM114A1
ARHGAP32,SOX9,FOXQ1,CARTPT,ELFN1,GLDN,RNF130,TPP2,IL16,CLDN14,ERBB3
FAM131A,EPO,LAYN,NEFH,TNNI3K,NPY2R,SPATA46,MYD88,ABL1,CCP110,LPCAT1
SATB2,NAT1,RHOJ,SLIT2,NPPC,TNFAIP8L3,ABHD15,CEBPB,ABI3,AVEN,PDE1C
CNKSR2,SDSL,PDGFRB,TAC1,MOXD1,HTR3A,IL13RA1,SPINT1,CEBPA,NIPAL4,TRAF1
NPTX1,NAT8L,VAMP5,BTN2A2,CACNG5,ZNF618,HCAR2,MAFK,MAN2B1,KIF6,FAM71F2
STX1A,EPS8,GIMAP5,ERBB4,PDYN,CPLX3,PAG1,CXCL10,HK3,SMCO3,KCNH8
NEUROD1,TLCD1,GPR182,MME,SHISA6,SLC10A4,ABCA1,PPP1R3B,TIFAB,ADAMTSL1,CENPJ
BAIAP2,SPAG1,PECAM1,GPNMB,SFRP2,AGTR1,CD52,MAP3K8,HLA-DMA,KLK6,GALNT3
MYL4,CYP4F8,SPC25,KCNC1,RXFP3,PCDHB14,PDE3B,ICAM1,HLA-DOB,WIPI1,B3GNT5
TBR1,ZBTB20,GATA2,LRRC38,CALB2,SNORA23,IGSF6,NCF1,DOCK11,MAL,CATSPERD
PCDHGC5,NAAA,MAP3K20,CACNA2D2,NMBR,AFF3,MYL2,SNORA41,SCARF2,C16orf90,CCDC30
FHL2,MAOB,FXYD5,ZNF804A,OXTR,SLN,HK2,RNF19B,HLA-DQA1,NKX6-2,ACTR5
NRN1,SMIM3,SNORD35B,TCAP,SST,NOXRED1,TMEM219,BACH1,SNX20,GNG8,INHBC
NRGN,OR7A5,PAQR5,GPR176,DMRT2,RIBC1,SPI1,C5AR2,ARL11,PRR5L,CCDC114
SEPT5,ACAT2,SNAP23,INPP5J,CALB2,MDH1B,EPSTI1,PER1,ATP8A2,GLTP,ADAM9
NEUROD6,EXD1,SLC38A5,PVALB,CDH4,GPR135,HLA-A,CASP4,CD300A,PDE8A,ZNF423
SV2B,HOPX,MECOM,COX6A2,NPPC,SORCS3,CRADD,HLX,INPP5D,KCTD13,TICAM1
TTC9B,PDK4,HMGCS2,WIF1,,TAC3,PDGFB,GPR84,RPS6KA1,GAMT,MYT1
RPRML,GJB6,ITGA1,PIP5KL1,,HTR3B,CHST14,SLCO4A1,NAGLU,MYO1D,FRMD7
IPCEF1,GAS1,ACVRL1,SLIT2,,NECTIN3,HLA-DMB,OAS1,BLNK,ADAMTS4,CFTR
KIAA1211L,TRPS1,IQGAP1,TAC1,,BPIFB6,HLA-DOA,MCL1,PSMB9,CARHSP1,EMID1
RNF112,PPIL6,ABCB1,,,SNCG,ERAP1,NFKBIZ,SUSD3,SEPT4,TMC6
PHF24,ABHD3,ADGRL4,,,CLNK,TAGAP,CXCL16,P2RY13,GAL3ST1,GPR82
TIAM2,ELOVL5,KLF2,,,KIT,SIGLEC8,NCF2,CLEC7A,ANKUB1,SLC6A19
ITPKA,BDH2,C16orf89,,,CHRNA3,RGS19,NCF4,FAM46C,WNT3,MC4R
SLC17A7,NTSR2,SLC52A3,,,CRH,CYSLTR1,RELA,IRAK2,FA2H,SREBF1
SV2B,LGR4,TINAGL1,,,CHRNA7,CLEC5A,TLR7,TCIRG1,TPRN,MC5R
TTC9B,FGFRL1,FZD6,,,CNR1,C17orf99,BCL2A1,TRIM65,CNMD,SLC25A30
MYL4,SLCO1B3,AURKA,,,BGLAP,B2M,HEATR1,SIRPA,DBNDD2,MCM3
,FJX1,SLC9A3R2,,,PNOC,MGAT4A,TMEM173,PFKFB4,MAP6D1,MCM5
,NDP,PROM1,,,RRAGC,DOK3,CD83,PTAFR,MBP,MATN4
,RFTN2,S100A11,,,PDE11A,NAIP,RRAD,RREB1,SRD5A1,NCKAP5
,ALDH1L1,SOX7,,,NPAS1,C15orf39,SAMSN1,TNFRSF17,NMRAL1,RGS9
,VIT,BCL2L12,,,SP8,NUBP1,RUNX1,PARVG,PPP1R14A,SLC35B2
,KIRREL2,SAMD9L,,,TNFAIP8L3,PPCDC,MLXIP,PLXNB2,HAPLN2,PABPC5
,ITGA7,NOD1,,,ZNF618,FAM91A1,TLR6,TUBGCP5,SPART,MIR9-3HG
,TST,PTPRB,,,CPLX3,ZNF208,RAB20,PMEPA1,GRB14,SCEL
,PTCH1,CLIC5,,,KIT,IER5,SLC15A3,FRMD4B,FBXO36,SMOC1
,EPX,RNF125,,,NECTIN3,IRF5,LCP2,ABCA9,PKD2L1,ITGA9
,RETSAT,SGMS1,,,PNOC,C1RL,MOB3A,SLC25A37,GJC2,RRM2
,GDF10,SLC22A8,,,SNCG,TOR4A,SLA,OLFML3,RNF13,EZH2
,NDRG2,CASTOR1,,,SORCS3,GOLM1,SQOR,LAPTM5,C10orf90,MELK
,F3,ST8SIA6,,,,ARHGAP30,CXCL2,CD84,SCD5,F8
,TTPA,APOLD1,,,,DENND1C,SH2B2,FAM78A,WRAP53,NT5DC1
,GFAP,AHNAK,,,,SNORD22,JMJD1C,LRRC3,PEX5L,RNF43
,ELOVL2,BUB1B,,,,GCNT1,ZFP36,CMTM6,ADA,ITGB8
,MYORG,ARHGAP29,,,,GMIP,FGL2,S100A8,CHN2,GFRA1
,BGLAP,NID1,,,,LY96,B4GALT1,S100A9,SLC48A1,RTL4
,ADD3,SHE,,,,PPP1R15A,TUBB6,HIST1H2AC,MAMDC4,FZD1
,SNORD8,KDR,,,,RRBP1,LEFTY1,PTPN6,PIGZ,C1QL1
,NRARP,ADGRF5,,,,NRROS,RHOH,MFNG,ITGB4,S100A3
,CFAP100,FGD5,,,,CREG1,PRR14,HIST1H2BG,PRR18,TMCO4
,GHR,PLAC9,,,,ITGAM,FRRS1,UBA7,LPAR1,STK32A
,FZD7,DEGS2,,,,CCDC88B,CCNYL1,ADRB2,TRIM59,FZD9
,ACSL3,CCL19,,,,ITGB2,RNASEL,SMPDL3B,PRIMA1,BMP4
,PHKA1,TMEM123,,,,SH2D4B,CSF2RB,ST3GAL6,TSPAN2,COL24A1
,TRIL,TMEM252,,,,PLA2G15,FCER1G,CLEC4A,TMEM88B,CAVIN4
,LHX2,DOCK6,,,,CTTNBP2NL,CD14,HPGDS,GSN,PCYOX1L
,PHKG1,MCUB,,,,F9,FCGR2A,PIK3CG,ELOVL7,BMP7
,MFGE8,LTBP4,,,,PTGS1,FCGR2B,AFP,GSS,OTOS
,GRHL1,UTRN,,,,VSIR,FCGR3A,HPGD,SGK2,FBN2
,BMPR1B,NOS3,,,,KIAA2013,IER3,UPK1B,ERMN,AMIGO3
,ADHFE1,PLTP,,,,HCST,P2RY6,BTK,TMEM81,LY6G6D
,TFCP2L1,CNN2,,,,CD300C,CD86,LPXN,TMEFF1,SEMA5B
,SYCP2,CXCL12,,,,CABLES1,BTG1,AIF1,NFE2L3,IQCJ
,TMEM47,HSPB1,,,,GGTA1P,TLR2,SLC37A2,PLEKHH1,ACAN
,HIST1H2BH,CAVIN2,,,,STAT6,CCNL1,PNRC1,DOCK5,DERL3
,SOHLH2,VCL,,,,TMEM106A,NFKBIE,GNA15,C21orf91,FDXR
,SNORA69,FOXC1,,,,EHD4,SERPINE1,PLCB2,S1PR5,HPS1
,SLCO1C1,PLSCR4,,,,ITPR2,SYK,KHK,GSTP1,BUB1
,OAF,COL4A1,,,,STAB1,CD53,BATF3,LRRC46,PCDH15
,HIST1H3C,COL4A3,,,,SRRD,OSBPL11,MCAT,CCDC13,PXN
,MSMO1,ROBO4,,,,ZBTB37,IFI30,ABCD1,LY6G6F,NECTIN4
,ZNRF3,NID2,,,,RASSF5,C1QA,UNC93B1,RTKN2,GM2A
,ACSBG1,TBX3,,,,TYROBP,PPP1R18,PLD1,HHIP,NTN1
,CLU,FLT1,,,,ADORA3,C1QB,FAM105A,GJB1,CCL5
,MLC1,FLT4,,,,JUNB,CCL2,DHTKD1,CLDN11,SPSB4
,GLDC,RBPMS,,,,RCOR1,SNORD83B,HSPA1A,PLLP,C1QTNF6
,VNN1,VTN,,,,FCRL1,CD74,GNGT2,THBS3,SLC25A29
,EVA1A,VWF,,,,BTG2,NINJ1,BANK1,SIRT2,CREB3L3
,SMPDL3A,FN1,,,,PTPRC,CCL4,PLD4,SLC44A1,SLITRK6
,GLI2,PGLYRP1,,,,GRK2,CCR5,DAGLB,ADO,DNA2
,GLI3,UACA,,,,F11R,CEP152,THEMIS2,ABHD5,GPT2
,SHPK,RGS5,,,,FCGR1A,TNF,LST1,BPGM,PLOD2
,SYDE2,PODXL,,,,GVINP1,IL17RA,SELPLG,SLC12A2,ABTB2
,AGL,ANXA1,,,,SH3TC1,C5AR1,DOK1,PLPP2,SFN
,SLC27A1,ESYT1,,,,SASH3,STK40,EVL,JOSD2,CA8
,AGT,MYCT1,,,,CLIC1,PLEK,TTF2,POLR3E,RAD51
,UCP3,ANXA4,,,,CARD9,SNORA81,SEC16B,TMEM98,RHCG
,GLUD1,RBMS2,,,,HIST1H4C,IL1A,SEMA4D,ARHGEF10,PLXNA3
,UGP2,POLH,,,,PIK3CD,RBM47,BIN1,PIK3C2B,VIPR2
,SORCS2,ICAM2,,,,RIN2,MS4A6A,VRK2,ANLN,OCEL1
,PXMP2,DEPP1,,,,NFKB1,MVP,ANG,GPR62,DPYD
,DIO2,HRCT1,,,,RAB43,CCDC86,DET1,EFHD1,NEU4
,FADS2,CAST,,,,TRPV2,RAB3IL1,SLAMF9,INSC,AMPD3
,SCTR,IFI44,,,,FES,MLPH,FGD2,PLEKHG3,FAM89A
,CHRDL1,SLC19A3,,,,SFXN2,PIK3R5,P2RY12,LGI3,COL9A3
,TEKT1,GJC1,,,,MYMK,IL4R,LAT2,DHFR,FBXW10
,MIR99AHG,ESAM,,,,RNU11,HCK,CD177,DEFB130A,ZEB1
,PYGB,LAMB2,,,,PLA2G4A,PLK3,CTC1,ASPA,KRT17
,CYP7B1,XDH,,,,C1QC,VASP,GPR34,MFSD13B,WIPF1
,AKT2,TNS2,,,,SERINC3,IL6,DOCK8,CTNNA3,PCDHGA5
,ACAA2,WWTR1,,,,CCL3,VAV1,EBF3,CDC42EP2,POLD1
,UPP1,FLVCR2,,,,PDS5A,TP53BP2,RBL1,KNDC1,FOSB
,VAV3,H6PD,,,,C3AR1,RAC2,PPFIA4,MOB3B,LHFPL3
,FGFR3,RET,,,,ADAM17,SMAD4,COL27A1,UGT8,LAD1
,HSD11B1,TEK,,,,PLCG2,SH2B2,CAMP,ANKRD28,ZNF521
,CHST2,ECM1,,,,CMKLR1,SQOR,CAPN3,FAM83D,SHMT1
,TAF4B,NXN,,,,MYO18B,TLR6,LAIR1,SLAIN1,SHC4
,FAM181B,MAP3K6,,,,RAB32,TMEM173,IRF8,NKAIN1,PABPC4L
,DMP1,PPIC,,,,GNG10,TPP2,MPEG1,SEMA6A,HTRA3
,MMP14,ATP10A,,,,SKAP2,Trim30a,ARHGAP17,DESI1,CHST11
,FXYD1,SOX13,,,,LY86,TUBB6,GAL3ST4,ADI1,CHADL
,KIAA2012,DENND3,,,,TAP2,VASP,ARHGAP9,ARRDC3,ERI1
,ALDH6A1,EDN1,,,,TAPBP,ZFP36,GALNT12,EML1,PMEL
,SCARA3,ST6GALNAC2,,,,GNS,CXCL10,TMEM119,TPPP3,DLL1
,SLC38A3,PDLIM5,,,,KLRD1,CXCL2,SCAMP2,TMEM125,RMDN2
,SDC4,CRIP1,,,,ALOX5AP,HLX,HEATR5A,TNNI1,ADAMTSL3
,PLXNB1,ATP10D,,,,KNG1,RAB20,SAMHD1,PCBP4,PAPSS1
,VCAM1,ITIH5,,,,FERMT3,,CAMK1,QDPR,ADAM12
,PAQR7,ZIC3,,,,GP9,,GPR183,SLC26A11,PPP1R14B
,OPLAH,GSTM2,,,,USP50,,LRRK1,CCDC89,VPS37B
,PLA2G7,MYL12A,,,,DOCK2,,TSPAN32,TALDO1,ANGPTL1
,EZR,SLC6A6,,,,TBXAS1,,PTPN18,CTSK,CDC14A
,GPLD1,CD93,,,,MRC1,,NFAM1,MYRF,NCMAP
,ACSL6,GSTT2,,,,DNAJB1,,HVCN1,ST18,CREB3L1
,FKBP10,TGFBR3,,,,TNFAIP8L2,,RGS2,ADAMTSL4,SFMBT2
,SEMA4B,ARHGAP6,,,,GALNT10,,COTL1,PDLIM2,E2F8
,ATP13A4,SMAGP,,,,LRRC34,,HPS3,JPT2,LGALS2
,NAT8B,LSR,,,,ZFP90,,SLC2A5,CEP97,C17orf58
,FLT3LG,ZBTB46,,,,RIPK3,,ZNF710,MOBP,TNFRSF11B
,SLC25A18,THBD,,,,KLF6,,CYTIP,CRAMP1,EPN2
,NWD1,ANGPTL2,,,,TCN2,,IVNS1ABP,IL17RB,CAPN11
,FMO1,LATS2,,,,UGT1A6,,TTC7A,MOG,TDRD7
,PSD2,RFLNB,,,,DUSP1,,FMNL3,SEC14L5,SLC5A11
,PEX11G,IGFBP7,,,,CNTRL,,RHOB,CNTF,C1QL2
,METTL11B,SLC16A4,,,,DUSP6,,CRYBA4,SP7,SEMA3D
,F2RL3,SIGIRR,,,,LENG1,,TGFBI,TMEM81,SLC7A2
,DTNA,CLEC14A,,,,NTPCR,,TGFBR1,TMEM88B,KLHL5
,UGT1A6,UNC45B,,,,LAG3,,ARHGAP4,WNT3,TRAF4
,DHRS11,KANK3,,,,GMFG,,TGIF1,ABHD5,PLEKHG6
,NTRK2,PDGFD,,,,CASP1,,ARHGDIB,CARHSP1,ABCA6
,TMEM51,TRIM6-TRIM34,,,,AKNA,,RNASE6,FA2H,ZNF43
,WNT7B,CD40,,,,PON3,,ARAP3,GAL3ST1,TMEM132E
,DOK7,MMRN2,,,,CASP8,,CSF1R,GAMT,PLEKHO2
