"","scorecutoff","tissue","which.one","gene","ensgene","module","p.val.mods"
"ENSG00000188984","1","cogdxad","rosmap","ENSG00000188984","ENSG00000188984","void","1"
"ENSG00000198691","1","cogdxad","rosmap","ENSG00000198691","ENSG00000198691","pink","0.02545"
"ENSG00000135776","1","cogdxad","rosmap","ENSG00000135776","ENSG00000135776","orangered4","0.9987"
"ENSG00000117528","1","cogdxad","rosmap","ENSG00000117528","ENSG00000117528","lightgreen","0.8355"
"ENSG00000143322","1","cogdxad","rosmap","ENSG00000143322","ENSG00000143322","tan","0.07271"
"ENSG00000182827","1","cogdxad","rosmap","ENSG00000182827","ENSG00000182827","darkslateblue","0.4744"
"ENSG00000135847","1","cogdxad","rosmap","ENSG00000135847","ENSG00000135847","yellow","1"
"ENSG00000162390","1","cogdxad","rosmap","ENSG00000162390","ENSG00000162390","saddlebrown","0.0007345"
"ENSG00000162836","1","cogdxad","rosmap","ENSG00000162836","ENSG00000162836","white","0.9996"
"ENSG00000117148","1","cogdxad","rosmap","ENSG00000117148","ENSG00000117148","void","1"
"ENSG00000077522","1","cogdxad","rosmap","ENSG00000077522","ENSG00000077522","floralwhite","0.03425"
"ENSG00000169717","1","cogdxad","rosmap","ENSG00000169717","ENSG00000169717","void","1"
"ENSG00000143537","1","cogdxad","rosmap","ENSG00000143537","ENSG00000143537","blue","1"
"ENSG00000158859","1","cogdxad","rosmap","ENSG00000158859","ENSG00000158859","lightcyan","0.001105"
"ENSG00000160710","1","cogdxad","rosmap","ENSG00000160710","ENSG00000160710","brown4","0.05451"
"ENSG00000142920","1","cogdxad","rosmap","ENSG00000142920","ENSG00000142920","yellow","1"
"ENSG00000163485","1","cogdxad","rosmap","ENSG00000163485","ENSG00000163485","midnightblue","0.134"
"ENSG00000121933","1","cogdxad","rosmap","ENSG00000121933","ENSG00000121933","salmon","2.35e-05"
"AFAR3","1","cogdxad","rosmap","AFAR3","AFAR3","void","1"
"ENSG00000186094","1","cogdxad","rosmap","ENSG00000186094","ENSG00000186094","green","3.708e-07"
"ENSG00000162688","1","cogdxad","rosmap","ENSG00000162688","ENSG00000162688","lightgreen","0.8355"
"ENSG00000116771","1","cogdxad","rosmap","ENSG00000116771","ENSG00000116771","violet","0.9992"
"ENSG00000188157","1","cogdxad","rosmap","ENSG00000188157","ENSG00000188157","darkgrey","7.768e-08"
"ENSG00000135744","1","cogdxad","rosmap","ENSG00000135744","ENSG00000135744","grey60","0.9979"
"ENSG00000168710","1","cogdxad","rosmap","ENSG00000168710","ENSG00000168710","yellowgreen","3.541e-05"
"ENSG00000186063","1","cogdxad","rosmap","ENSG00000186063","ENSG00000186063","darkolivegreen","0.9929"
"ENSG00000176092","1","cogdxad","rosmap","ENSG00000176092","ENSG00000176092","void","1"
