"","tissue","which.one","scorecutoff","module","gene","pvalue"
"1","cogdxad","rosmap","1","yellow","ACBD6","0.00255"
"2","cogdxad","rosmap","1","yellow","ADC","0.04936"
"3","cogdxad","rosmap","1","yellow","AKR1A1","0.0314"
"4","cogdxad","rosmap","1","yellow","B3GALT6","0.02277"
"5","cogdxad","rosmap","1","yellow","C1orf85","0.04758"
"6","cogdxad","rosmap","1","yellow","C1orf86","0.00868"
"7","cogdxad","rosmap","1","yellow","MEGF6","0.01288"
"8","cogdxad","rosmap","1","yellow","MORN1","0.01008"
"9","cogdxad","rosmap","1","yellow","NENF","0.0497"
"10","cogdxad","rosmap","1","yellow","PEX10","0.02336"
"11","cogdxad","rosmap","1","yellow","PMF1","0.000841"
"12","cogdxad","rosmap","1","yellow","PSEN2","0.00786"
"13","cogdxad","rosmap","1","yellow","RNPEP","0.00633"
"14","cogdxad","rosmap","1","yellow","S100A2","0.04877"
"15","cogdxad","rosmap","1","yellow","SLC45A1","0.02683"
"16","cogdxad","rosmap","1","yellow","ANKRD39","0.02165"
"17","cogdxad","rosmap","1","yellow","CHCHD5","0.04984"
"18","cogdxad","rosmap","1","yellow","DIS3L2","0.02388"
"19","cogdxad","rosmap","1","yellow","NOSTRIN","0.03405"
"20","cogdxad","rosmap","1","yellow","PDK1","0.01363"
"21","cogdxad","rosmap","1","yellow","PROC","0.04491"
"22","cogdxad","rosmap","1","yellow","PSD4","0.00761"
"23","cogdxad","rosmap","1","yellow","RAB17","0.01827"
"24","cogdxad","rosmap","1","yellow","SFXN5","0.04975"
"25","cogdxad","rosmap","1","yellow","SNTG2","0.01669"
"26","cogdxad","rosmap","1","yellow","THNSL2","0.03944"
"27","cogdxad","rosmap","1","yellow","TMEM18","0.04962"
"28","cogdxad","rosmap","1","yellow","ZFAND2B","0.05024"
"29","cogdxad","rosmap","1","yellow","B4GALT4","0.03706"
"30","cogdxad","rosmap","1","yellow","CCDC71","0.05087"
"31","cogdxad","rosmap","1","yellow","CHCHD6","0.03254"
"32","cogdxad","rosmap","1","yellow","CYB561D2","9.00000000000001e-05"
"33","cogdxad","rosmap","1","yellow","GHRL","0.0133"
"34","cogdxad","rosmap","1","yellow","GLYCTK","0.04972"
"35","cogdxad","rosmap","1","yellow","HRASLS","0.02271"
"36","cogdxad","rosmap","1","yellow","IL17RC","0.04969"
"37","cogdxad","rosmap","1","yellow","IL17RE","0.05082"
"38","cogdxad","rosmap","1","yellow","MAPKAPK3","1e-06"
"39","cogdxad","rosmap","1","yellow","MAPKAPK3","5e-06"
"40","cogdxad","rosmap","1","yellow","NAT6","0.04969"
"41","cogdxad","rosmap","1","yellow","RAD54L2","0.04914"
"42","cogdxad","rosmap","1","yellow","TREX1","0.01146"
"43","cogdxad","rosmap","1","yellow","ALB","0.04179"
"44","cogdxad","rosmap","1","yellow","CCDC96","0.03194"
"45","cogdxad","rosmap","1","yellow","GRK4","0.01981"
"46","cogdxad","rosmap","1","yellow","MFSD7","0.00512"
"47","cogdxad","rosmap","1","yellow","MYL5","0.02434"
"48","cogdxad","rosmap","1","yellow","DAP","0.00426"
"49","cogdxad","rosmap","1","yellow","SIL1","0.05038"
"50","cogdxad","rosmap","1","yellow","HLA-DOB","0.00403"
"51","cogdxad","rosmap","1","yellow","NHLRC1","0.02165"
"52","cogdxad","rosmap","1","yellow","TREML1","0.03158"
"53","cogdxad","rosmap","1","yellow","ARF5","0.02527"
"54","cogdxad","rosmap","1","yellow","C7orf50","0.05032"
"55","cogdxad","rosmap","1","yellow","DNAJC30","0.04612"
"56","cogdxad","rosmap","1","yellow","GATS","0.04962"
"57","cogdxad","rosmap","1","yellow","MAD1L1","0.02136"
"58","cogdxad","rosmap","1","yellow","MOSPD3","0.04831"
"59","cogdxad","rosmap","1","yellow","SNX8","0.02326"
"60","cogdxad","rosmap","1","yellow","STK31","0.0266"
"61","cogdxad","rosmap","1","yellow","CTHRC1","0.03929"
"62","cogdxad","rosmap","1","yellow","PEBP4","0.000207"
"63","cogdxad","rosmap","1","yellow","TSNARE1","0.02397"
"64","cogdxad","rosmap","1","yellow","ZNF517","0.04878"
"65","cogdxad","rosmap","1","yellow","ZNF707","0.02683"
"66","cogdxad","rosmap","1","yellow","BAAT","0.02127"
"67","cogdxad","rosmap","1","yellow","C9orf43","0.0049"
"68","cogdxad","rosmap","1","yellow","C9orf50","0.03144"
"69","cogdxad","rosmap","1","yellow","EGFL7","0.03869"
"70","cogdxad","rosmap","1","yellow","PTGES2","0.03414"
"71","cogdxad","rosmap","1","yellow","SH3GLB2","0.02127"
"72","cogdxad","rosmap","1","yellow","SURF2","0.02871"
"73","cogdxad","rosmap","1","yellow","XPA","0.03538"
"74","cogdxad","rosmap","1","yellow","C10orf107","0.01517"
"75","cogdxad","rosmap","1","yellow","C10orf32","0.000544"
"76","cogdxad","rosmap","1","yellow","CCDC147","0.0331"
"77","cogdxad","rosmap","1","yellow","COMTD1","0.04037"
"78","cogdxad","rosmap","1","yellow","DDX50","0.04932"
