"","yellow","lightyellow","turquoise","darkred","mediumpurple3","violet","lightsteelblue1","darkorange","lightcyan","lightgreen","white","green","salmon4","paleturquoise","thistle2","blue","brown","pink","magenta","purple","tan","thistle1","darkslateblue","plum2","grey60","darkolivegreen","darkmagenta","midnightblue","royalblue","skyblue","steelblue","darkgreen","ivory","darkgrey","plum1","red","floralwhite","brown4","saddlebrown","sienna3","yellowgreen","greenyellow","lightcyan1","bisque4","black","salmon","orangered4","cyan","darkturquoise","darkorange2","skyblue3"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.55148374710901e-20,1,5.23475618254554e-08,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.56191485299181e-22,1,1.14184955226065e-47,1,1,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,2.28488008836525e-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.13252486113282e-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.68532256772353e-16,1,1,1
"Microglia (Type2) module in Cortex",1,1,1,1,1,1,1,1,4.3857953730891e-16,1,1,1,1,0.000151266150604143,1.97622924958046e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.00117098840295e-07,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,6.20354761609669e-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.18772546101886e-37,1,1,1,1,1,1
"Neuron module in Cortex",1,1,1,1,1,1,1,1,1,1,1,0.0299111200141077,1,1,1,1,1,1,1,1,1,1,7.94516607599851e-07,1,1,1,1,1,1,1,0.0184596201577293,1,1,1,1,0.00316214652350349,1,1,1,1,1,1,1,1,1.35408093302382e-41,1,1,1,1,1,1
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0119980472946696,1,1,1,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00993058917115358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.95401442612657e-99,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,0.0450848219612724,1,1,1,1,1,1,1,1.9679956471256e-33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.20956655650446e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.46949038245514e-14,1,1,1,1,4.64316694320285e-87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.14897799038382e-88,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.85630445148446e-06,1,1,1,1,1.18204827109018e-56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.33837039279677e-48,1,1,1,1,1,1,1,0.00605854654032991,1
"Oligodendrocytes, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.98491024801678e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.15317011612847e-31,1,1,1,1,1,1,1,1,1
"Oligodendrocytes from conservative data set (Lein, 2007)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.95373450288815e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.22064614242235e-08,1,1,1,1,1,1,1,1,1
"Neuron, probably (Cahoy, 2008)",1,1,1,1.20883973788759e-18,1,1,0.0309410635139238,1,1,1,1,2.64946538692493e-65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.45755267694124e-08,1,1,1,1,1,3.20442837095776e-14,1,1,1,1,1,1,1,2.15078133312338e-23,1,1,1,1,1,0.0342523993787591
"Astrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000149684879566529,1,1,1,1,1,1,1,1,1,1
"Neuron-Dopaminergic-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neurons-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.9067092339384e-06,1,1,1,1,1,1,1,1,1
"Ependymal-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocyte-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07230033391305e-05,1,1,1,1,2.16274124778451e-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.15272457013963e-37,1,1,1,1,1,1,1,1,1
"Microglia-External",1,1,1,1,1,1,1,1,1,1,1,1,1,0.000109335477718549,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.64382606719066e-119,1,1,1,1,1
"Neuron_Pyramidal_CA1-External",1,1,1,5.47289513676182e-05,1,1,1,1,1,1,1,2.6626208955155e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron_Interneuron-External",1,1,1,1,1,1,0.00263063447856169,1,1,1,1,0.000152261148028745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0283993675050065,1,1,1,1,1,1,1,0.00325926489246569,1,1,1,1,1,1
