"","ensgene","name","module","mm"
"1","ENSG00000167578","RAB4B","yellow",0.495334337185559
"2","ENSG00000078237","C12orf5","lightyellow",0.40693503215407
"3","ENSG00000060642","PIGV","turquoise",0.400549876163253
"4","ENSG00000172137","CALB2","darkred",0.500883958408812
"5","ENSG00000167700","MFSD3","mediumpurple3",0.596100660618723
"6","ENSG00000182141","ZNF708","violet",0.429026951624332
"7","ENSG00000185105","MYADML2","lightsteelblue1",0.372791379804871
"8","ENSG00000102174","PHEX","darkorange",0.387186892559066
"9","ENSG00000179262","RAD23A","yellow",0.507562954308357
"10","ENSG00000127507","EMR2","lightcyan",0.584231113540076
"11","ENSG00000078668","VDAC3","lightyellow",0.761068889405543
"12","ENSG00000095587","TLL2","lightgreen",0.422665506543552
"13","ENSG00000182648","AC073871.2","yellow",0.440199144587126
"14","ENSG00000101199","ARFGAP1","white",0.70530063778752
"15","ENSG00000198963","RORB","green",0.547861756745837
"16","ENSG00000264198","RP11-94L15.2","salmon4",0.370274307185378
"17","ENSG00000064601","CTSA","darkorange",0.373037400554057
"18","ENSG00000185947","ZNF267","paleturquoise",0.513449803716685
"19","ENSG00000008517","IL32","thistle2",0.756476236671128
"20","ENSG00000088179","PTPN4","green",0.670085624403153
"21","ENSG00000196167","C11orf92","darkorange",0.405275093529659
"22","ENSG00000254092","RP11-369E15.3","turquoise",0.367632355366933
"23","ENSG00000161558","TMEM143","blue",0.596858830181154
"24","ENSG00000250571","GLI4","white",0.558044401433797
"25","ENSG00000219747","RP1-292B18.1","brown",0.218930370295821
"26","ENSG00000179833","SERTAD2","pink",0.59997242449197
"27","ENSG00000165312","OTUD1","brown",0.652111829190854
"28","ENSG00000158966","CACHD1","lightcyan",0.573804041668154
"29","ENSG00000187522","HSPA14","lightgreen",0.439981121607562
"30","ENSG00000259659","RP11-151N17.1","magenta",0.342246505548961
"31","ENSG00000174442","ZWILCH","lightgreen",0.686258915309646
"32","ENSG00000120662","MTRF1","purple",0.490826386648104
"33","ENSG00000022567","SLC45A4","tan",0.736253967048493
"34","ENSG00000125744","RTN2","tan",0.687017652682851
"35","ENSG00000236104","ZBTB22","tan",0.499081968599835
"36","ENSG00000225630","MTND2P28","thistle1",0.255297270275477
"37","ENSG00000231880","KBTBD4","turquoise",0.409781582920451
"38","ENSG00000013392","RWDD2A","lightyellow",0.454292559019263
"39","ENSG00000226688","ENTPD1-AS1","darkslateblue",0.357532294629206
"40","ENSG00000184178","SCFD2","lightyellow",0.363527299730945
"41","ENSG00000069399","BCL3","plum2",0.630438667503342
"42","ENSG00000164182","NDUFAF2","lightyellow",0.669609116399082
"43","ENSG00000258498","DIO3OS","grey60",0.205805208602621
"44","ENSG00000173566","NUDT18","yellow",0.718443114408926
"45","ENSG00000137642","SORL1","green",0.517910660288709
"46","ENSG00000153015","CWC27","magenta",0.338262094282601
"47","ENSG00000036448","MYOM2","darkolivegreen",0.23408705590028
"48","ENSG00000256885","AP001877.1","darkmagenta",0.266659724795217
"49","ENSG00000185269","NOTUM","midnightblue",0.473734451336899
"50","ENSG00000164114","MAP9","magenta",0.581211059666669
"51","ENSG00000179632","MAF1","tan",0.623988686103101
"52","ENSG00000114861","FOXP1","magenta",0.579002134683851
"53","ENSG00000152942","RAD17","royalblue",0.318073235267047
"54","ENSG00000162290","DCP1A","magenta",0.328599717949547
"55","ENSG00000133134","BEX2","lightgreen",0.611882225954542
"56","ENSG00000100968","NFATC4","skyblue",0.365612581501808
"57","ENSG00000085721","RRN3","steelblue",0.313676636846332
"58","ENSG00000073711","PPP2R3A","violet",0.332407469237352
"59","ENSG00000136169","SETDB2","darkgreen",0.482744771064337
"60","ENSG00000121644","DESI2","purple",0.523896867875822
"61","ENSG00000138495","COX17","lightyellow",0.686591260041416
"62","ENSG00000111863","ADTRP","magenta",0.287022122564896
"63","ENSG00000103037","SETD6","darkgreen",0.445071465097997
"64","ENSG00000127564","PKMYT1","grey60",0.158298370116884
"65","ENSG00000123444","KBTBD4","royalblue",0.580372193669696
"66","ENSG00000176973","FAM89B","tan",0.529497718226628
"67","ENSG00000196381","ZNF781","grey60",0.171319763158601
"68","ENSG00000112511","PHF1","ivory",0.443961496641817
"69","ENSG00000111669","TPI1","salmon4",0.419162135244432
"70","ENSG00000159915","ZNF233","magenta",0.229820836429504
"71","ENSG00000143248","RGS5","darkgrey",0.653689204361223
"72","ENSG00000144504","ANKMY1","white",0.649093799503008
"73","ENSG00000164116","GUCY1A3","plum1",0.617303388120187
"74","ENSG00000138669","PRKG2","darkslateblue",0.609009969640426
"75","ENSG00000142507","PSMB6","royalblue",0.690841482877849
"76","ENSG00000174013","FBXO45","red",0.652675627694569
"77","ENSG00000170419","VSTM2A","steelblue",0.733291863651856
"78","ENSG00000106069","CHN2","darkmagenta",0.641451046583431
"79","ENSG00000176928","GCNT4","floralwhite",0.689698807906441
"80","ENSG00000241728","AP001062.8","brown4",0.193070017119347
"81","ENSG00000101158","NELFCD","saddlebrown",0.262147884627283
"82","ENSG00000150773","PIH1D2","lightgreen",0.379750990004326
"83","ENSG00000143033","MTF2","blue",0.718175349439369
"84","ENSG00000033030","ZCCHC8","purple",0.551635531085242
"85","ENSG00000083857","FAT1","saddlebrown",0.652053125922242
"86","ENSG00000161896","IP6K3","darkmagenta",0.743622794299779
"87","ENSG00000267083","AC079005.2","magenta",0.376000657682379
"88","ENSG00000239415","AP001469.9","darkgreen",0.308850988031986
"89","ENSG00000260729","RP11-106M3.2","saddlebrown",0.297966162996801
"90","ENSG00000258517","RP6-91H8.1","darkred",0.261806725155592
"91","ENSG00000166986","MARS","brown",0.64833691355262
"92","ENSG00000205362","MT1A","lightcyan",0.73625554193701
"93","ENSG00000150316","CWC15","lightyellow",0.510480233888385
"94","ENSG00000168404","MLKL","thistle2",0.688696897741742
"95","ENSG00000160229","ZNF66","darkgreen",0.32467425687595
"96","ENSG00000111641","NOP2","turquoise",0.603357790026341
"97","ENSG00000203780","FANK1","sienna3",0.278954126656016
"98","ENSG00000266677","RP11-258F1.1","pink",0.806546560587764
"99","ENSG00000127329","PTPRB","darkgrey",0.806861681376236
"100","ENSG00000144199","FAHD2B","blue",0.73670540382641
"101","ENSG00000143183","TMCO1","yellowgreen",0.5411938400955
"102","ENSG00000108774","RAB5C","yellowgreen",0.417708159277075
"103","ENSG00000235944","ZNF815P","yellow",0.426711890451743
"104","ENSG00000198231","DDX42","lightgreen",0.655362662683985
"105","ENSG00000117139","KDM5B","salmon4",0.673549412355332
"106","ENSG00000205220","PSMB10","yellow",0.438352859200267
"107","ENSG00000001460","STPG1","steelblue",0.386870339363554
"108","ENSG00000131759","RARA","pink",0.695274536898176
"109","ENSG00000117360","PRPF3","grey60",0.485911366272046
"110","ENSG00000107625","DDX50","yellow",0.335604856206567
"111","ENSG00000080031","PTPRH","greenyellow",0.372592487937421
"112","ENSG00000260456","C16orf95","mediumpurple3",0.262006259852412
"113","ENSG00000106125","FAM188B","lightcyan1",0.458879592255318
"114","ENSG00000227097","RP11-742N3.1","mediumpurple3",0.358812010567523
"115","ENSG00000076984","MAP2K7","ivory",0.489268562418444
