"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","steelblue",TRUE,0.00101,138,313,14,0.045,0.101,"GO:0043487","BP",26,"regulation of RNA stability",1,"PSMB1,PSMC4,EXOSC7,PSMA3,PSMA7,PSMA1,PSMB7,PSMA5,PSMD4,PSMC3,EXOSC1,PSMD1,YTHDF2,PSMB3",7.71520403209651
"2","steelblue",TRUE,0.000639,133,313,14,0.045,0.105,"GO:0043488","BP",26,"regulation of mRNA stability",2,"PSMB1,PSMC4,EXOSC7,PSMA3,PSMA7,PSMA1,PSMB7,PSMA5,PSMD4,PSMC3,EXOSC1,PSMD1,YTHDF2,PSMB3",7.76563488572341
"3","steelblue",TRUE,0.0484,783,313,33,0.105,0.042,"GO:0006396","BP",46,"RNA processing",1,"RPS20,RPL26L1,EXOSC7,PQBP1,LSM5,RPL24,RPP40,SNRPD2,DNAJC8,NGDN,CTNNBL1,CDK7,THUMPD3,CCNH,MRPS9,RPL35,SNRPF,INTS4,SAP18,RPS14,RPL27A,SNRPD1,LSM3,TRMT61B,EXOSC1,AURKAIP1,RPS27,SNRPE,RPL12,UBL5,SARNP,EIF6,GTF2H5",4.43281480150599
"4","steelblue",TRUE,0.00376,1444,313,54,0.173,0.037,"GO:0046907","BP",45,"intracellular transport",1,"M6PR,RPS20,RPL26L1,TSG101,NUP37,SCFD1,SAMM50,IFT27,FOLR1,ATP5B,RPL24,SPCS1,PARK7,OSCP1,IFT43,SNRPD2,TIMM10,ATP5G2,BLOC1S1,COX5B,VPS45,TXN,PSMB7,RPL35,SNRPF,IMMP1L,SEC13,NRG1,ATP5G1,VPS11,RPS14,ATP5C1,RPL27A,SNRPD1,ATP5H,ATP5I,TRAPPC1,STX8,ARV1,RPS27,TRAPPC5,COPG1,SNRPE,F8,FAF1,PIK3R4,DYNC1H1,RPL12,UBL5,DCTN1,SARNP,ATP5O,EIF6,TIMM23",3.92618257313009
"5","steelblue",TRUE,0.0131,171,313,14,0.045,0.082,"GO:0030178","BP",14,"negative regulation of Wnt signaling pathway",1,"PSMB1,PSMC4,RBX1,PSMA3,PSMA7,PFDN5,PSMA1,PSMB7,PSMA5,PSMD4,PSMC3,PSMD1,WWOX,PSMB3",6.40554289699754
"6","steelblue",TRUE,0.0105,145,313,13,0.042,0.09,"GO:0090090","BP",14,"negative regulation of canonical Wnt signaling pathway",2,"PSMB1,PSMC4,RBX1,PSMA3,PSMA7,PFDN5,PSMA1,PSMB7,PSMA5,PSMD4,PSMC3,PSMD1,PSMB3",6.67858341945637
"7","steelblue",TRUE,0.0109,8550,313,204,0.652,0.024,"GO:0008152","BP",8,"metabolic process",1,"PSMB1,RPS20,UQCRC1,PSMC4,RPL26L1,C4ORF27,FAR2,ZNRD1,IDH3G,EIF2B3,SDHA,TSG101,NUP37,ACAT1,EXOSC7,NRD1,BLVRB,GNPTG,FH,TINF2,NANS,MARCH2,NDUFB7,EIF3D,RBX1,PSMA3,ERH,ABHD12,PSMA7,SLC25A14,PQBP1,NUBP1,TCEB2,UBXN8,ECH1,ETFB,NUDT1,LSM5,MRPL32,BLVRA,EDF1,PHYH,OBFC1,UFSP2,PTPMT1,ATP5B,DNPH1,THBS4,FAM162A,RPL24,SPCS1,EEF1B2,DGUOK,EIF2B4,NDUFS7,PARK7,LAMTOR2,AKR1A1,DDX59,GDA,PDZD11,ALG5,PFDN5,RPP40,NDUFA1,SNRPD2,MRPS26,ROMO1,UROD,COX6B1,PRDX5,DNAJC8,SHFM1,ANAPC13,PSMA1,CDKN2D,NGDN,NEDD8,COX4I1,NDUFA2,PDHA1,CTNNBL1,DYDC2,CDK7,THUMPD3,CCNH,ATP5G2,BLOC1S1,COX5B,MRPS9,RNASEH2B,NDUFB5,MRPL47,TXN,PSMB7,RPL35,DSCC1,MRPL15,ATIC,NDUFA9,SNRPF,NUDT7,NDUFB10,PSMA5,MRPL24,LYPLAL1,NDUFS6,TBC1D7,CETN2,MSRB2,PDSS1,GSTO1,IMMP1L,INTS4,SAP18,OXSM,MED7,AIFM1,WDYHV1,PHKG2,NRG1,ATP5G1,PSMD4,NDUFV3,VPS11,ELP6,UQCRQ,RPS14,COX6C,NUDT2,ATP5C1,PSMC3,TAF1D,RPL27A,MRPL16,SNRPD1,ICT1,ATP5H,COPS6,NDUFS5,TMEM208,RNF181,ATP5I,NFU1,FABP6,MGMT,LSM3,NDUFA3,TRMT61B,EXOSC1,GPHN,MACROD2,MRPL52,COQ2,MRP63,COMMD1,ARV1,PTPRM,PSMD1,ATR,PCCA,DRAP1,AURKAIP1,SWI5,TALDO1,RPS27,NDUFV2,EPM2AIP1,DPM3,MRPL14,SNRPE,MRPL54,COA3,DIABLO,NR2C2AP,NDUFA6,F8,FAF1,MRPL40,DRG1,WWOX,FHIT,PPIA,PIK3R4,RPL12,UBL5,YTHDF2,MT-CO2,CSNK2B,MRPL53,PSENEN,SARNP,NDUFS3,CKMT1A,MCTS1,NME1,ATP5O,EIF6,MRPL20,NFS1,ZNF350,NDUFA7,GTF2H5,PSMB3",1.10347152361181
"8","steelblue",TRUE,0.00135,7875,313,195,0.623,0.025,"GO:0044238","BP",8,"primary metabolic process",2,"PSMB1,RPS20,UQCRC1,PSMC4,RPL26L1,C4ORF27,ZNRD1,IDH3G,EIF2B3,SDHA,TSG101,NUP37,ACAT1,EXOSC7,NRD1,GNPTG,FH,TINF2,NANS,MARCH2,NDUFB7,EIF3D,RBX1,PSMA3,ERH,ABHD12,PSMA7,PQBP1,TCEB2,UBXN8,ECH1,ETFB,NUDT1,LSM5,MRPL32,EDF1,PHYH,OBFC1,UFSP2,PTPMT1,ATP5B,DNPH1,THBS4,FAM162A,RPL24,SPCS1,EEF1B2,DGUOK,EIF2B4,NDUFS7,PARK7,LAMTOR2,AKR1A1,DDX59,GDA,ALG5,PFDN5,RPP40,NDUFA1,SNRPD2,MRPS26,COX6B1,PRDX5,DNAJC8,SHFM1,ANAPC13,PSMA1,CDKN2D,NGDN,NEDD8,COX4I1,NDUFA2,PDHA1,CTNNBL1,DYDC2,CDK7,THUMPD3,CCNH,ATP5G2,BLOC1S1,COX5B,MRPS9,RNASEH2B,NDUFB5,MRPL47,TXN,PSMB7,RPL35,DSCC1,MRPL15,ATIC,NDUFA9,SNRPF,NUDT7,NDUFB10,PSMA5,MRPL24,LYPLAL1,NDUFS6,TBC1D7,CETN2,MSRB2,PDSS1,GSTO1,IMMP1L,INTS4,SAP18,OXSM,MED7,AIFM1,WDYHV1,PHKG2,NRG1,ATP5G1,PSMD4,NDUFV3,VPS11,ELP6,UQCRQ,RPS14,COX6C,NUDT2,ATP5C1,PSMC3,TAF1D,RPL27A,MRPL16,SNRPD1,ICT1,ATP5H,COPS6,NDUFS5,TMEM208,RNF181,ATP5I,FABP6,MGMT,LSM3,NDUFA3,TRMT61B,EXOSC1,GPHN,MACROD2,MRPL52,COQ2,MRP63,COMMD1,ARV1,PTPRM,PSMD1,ATR,PCCA,DRAP1,AURKAIP1,SWI5,TALDO1,RPS27,NDUFV2,EPM2AIP1,DPM3,MRPL14,SNRPE,MRPL54,COA3,DIABLO,NR2C2AP,NDUFA6,F8,FAF1,MRPL40,DRG1,WWOX,FHIT,PPIA,PIK3R4,RPL12,UBL5,YTHDF2,MT-CO2,CSNK2B,MRPL53,PSENEN,SARNP,NDUFS3,CKMT1A,MCTS1,NME1,ATP5O,EIF6,MRPL20,NFS1,ZNF350,NDUFA7,GTF2H5,PSMB3",1.36698257719581
"9","steelblue",TRUE,0.0446,1612,313,55,0.176,0.034,"GO:0009056","BP",8,"catabolic process",2,"PSMB1,RPS20,PSMC4,RPL26L1,TSG101,ACAT1,EXOSC7,NRD1,BLVRB,RBX1,PSMA3,ABHD12,PSMA7,UBXN8,ECH1,ETFB,NUDT1,LSM5,BLVRA,PHYH,DNPH1,RPL24,PARK7,AKR1A1,GDA,PSMA1,NEDD8,RNASEH2B,PSMB7,RPL35,NUDT7,PSMA5,LYPLAL1,GSTO1,AIFM1,PHKG2,PSMD4,VPS11,RPS14,PSMC3,RPL27A,RNF181,FABP6,LSM3,EXOSC1,COMMD1,PSMD1,PCCA,RPS27,FAF1,FHIT,PIK3R4,RPL12,EIF6,PSMB3",3.57415318246847
"10","steelblue",TRUE,0.0108,8336,313,200,0.639,0.024,"GO:0071704","BP",8,"organic substance metabolic process",2,"PSMB1,RPS20,UQCRC1,PSMC4,RPL26L1,C4ORF27,FAR2,ZNRD1,IDH3G,EIF2B3,SDHA,TSG101,NUP37,ACAT1,EXOSC7,NRD1,BLVRB,GNPTG,FH,TINF2,NANS,MARCH2,NDUFB7,EIF3D,RBX1,PSMA3,ERH,ABHD12,PSMA7,PQBP1,TCEB2,UBXN8,ECH1,ETFB,NUDT1,LSM5,MRPL32,BLVRA,EDF1,PHYH,OBFC1,UFSP2,PTPMT1,ATP5B,DNPH1,THBS4,FAM162A,RPL24,SPCS1,EEF1B2,DGUOK,EIF2B4,NDUFS7,PARK7,LAMTOR2,AKR1A1,DDX59,GDA,PDZD11,ALG5,PFDN5,RPP40,NDUFA1,SNRPD2,MRPS26,UROD,COX6B1,PRDX5,DNAJC8,SHFM1,ANAPC13,PSMA1,CDKN2D,NGDN,NEDD8,COX4I1,NDUFA2,PDHA1,CTNNBL1,DYDC2,CDK7,THUMPD3,CCNH,ATP5G2,BLOC1S1,COX5B,MRPS9,RNASEH2B,NDUFB5,MRPL47,TXN,PSMB7,RPL35,DSCC1,MRPL15,ATIC,NDUFA9,SNRPF,NUDT7,NDUFB10,PSMA5,MRPL24,LYPLAL1,NDUFS6,TBC1D7,CETN2,MSRB2,PDSS1,GSTO1,IMMP1L,INTS4,SAP18,OXSM,MED7,AIFM1,WDYHV1,PHKG2,NRG1,ATP5G1,PSMD4,NDUFV3,VPS11,ELP6,UQCRQ,RPS14,COX6C,NUDT2,ATP5C1,PSMC3,TAF1D,RPL27A,MRPL16,SNRPD1,ICT1,ATP5H,COPS6,NDUFS5,TMEM208,RNF181,ATP5I,FABP6,MGMT,LSM3,NDUFA3,TRMT61B,EXOSC1,GPHN,MACROD2,MRPL52,COQ2,MRP63,COMMD1,ARV1,PTPRM,PSMD1,ATR,PCCA,DRAP1,AURKAIP1,SWI5,TALDO1,RPS27,NDUFV2,EPM2AIP1,DPM3,MRPL14,SNRPE,MRPL54,COA3,DIABLO,NR2C2AP,NDUFA6,F8,FAF1,MRPL40,DRG1,WWOX,FHIT,PPIA,PIK3R4,RPL12,UBL5,YTHDF2,MT-CO2,CSNK2B,MRPL53,PSENEN,SARNP,NDUFS3,CKMT1A,MCTS1,NME1,ATP5O,EIF6,MRPL20,NFS1,ZNF350,NDUFA7,GTF2H5,PSMB3",1.26232799050953
