"","ensgene","name","module","mm"
"1","ENSG00000167578","RAB4B","white",0.532083025085987
"2","ENSG00000078237","C12orf5","lightsteelblue1",0.387503113173069
"3","ENSG00000060642","PIGV","darkgreen",0.415476012061915
"4","ENSG00000172137","CALB2","sienna3",0.680699962460286
"5","ENSG00000167700","MFSD3","tan",0.680815200102856
"6","ENSG00000182141","ZNF708","green",0.538539559315359
"7","ENSG00000185105","MYADML2","saddlebrown",0.260430584037858
"8","ENSG00000102174","PHEX","mediumpurple3",0.385330237398895
"9","ENSG00000179262","RAD23A","white",0.620874576604833
"10","ENSG00000127507","EMR2","royalblue",0.753213616234692
"11","ENSG00000078668","VDAC3","paleturquoise",0.688678269176878
"12","ENSG00000095587","TLL2","green",0.289145767885041
"13","ENSG00000182648","AC073871.2","blue",0.614493881097895
"14","ENSG00000101199","ARFGAP1","white",0.560484061357103
"15","ENSG00000198963","RORB","salmon",0.431583875110695
"16","ENSG00000264198","RP11-94L15.2","lightcyan1",0.441950982601264
"17","ENSG00000064601","CTSA","mediumpurple3",0.414652436711645
"18","ENSG00000185947","ZNF267","darkorange2",0.574320187834351
"19","ENSG00000008517","IL32","royalblue",0.631680657152951
"20","ENSG00000088179","PTPN4","salmon",0.701740057149504
"21","ENSG00000196167","C11orf92","yellowgreen",0.37618742166787
"22","ENSG00000254092","RP11-369E15.3","violet",0.206023260098183
"23","ENSG00000161558","TMEM143","blue",0.540976841437186
"24","ENSG00000250571","GLI4","darkmagenta",0.525318656677981
"25","ENSG00000219747","RP1-292B18.1","darkorange2",0.364999042349864
"26","ENSG00000179833","SERTAD2","darkorange2",0.525532847421577
"27","ENSG00000165312","OTUD1","steelblue",0.622989055747582
"28","ENSG00000158966","CACHD1","grey60",0.460464399791986
"29","ENSG00000187522","HSPA14","brown",0.732227220524444
"30","ENSG00000259659","RP11-151N17.1","bisque4",0.420072648395855
"31","ENSG00000174442","ZWILCH","blue",0.63460861286882
"32","ENSG00000120662","MTRF1","darkslateblue",0.441815117125777
"33","ENSG00000022567","SLC45A4","red",0.767298739633046
"34","ENSG00000125744","RTN2","tan",0.712044815634971
"35","ENSG00000236104","ZBTB22","saddlebrown",0.506873173175651
"36","ENSG00000225630","MTND2P28","darkturquoise",0.323145295970587
"37","ENSG00000231880","KBTBD4","steelblue",0.131623379616633
"38","ENSG00000013392","RWDD2A","paleturquoise",0.41041651249662
"39","ENSG00000226688","ENTPD1-AS1","salmon",0.307049253217985
"40","ENSG00000184178","SCFD2","darkgrey",0.43051060618261
"41","ENSG00000069399","BCL3","royalblue",0.76595051381158
"42","ENSG00000164182","NDUFAF2","paleturquoise",0.609042468373355
"43","ENSG00000258498","DIO3OS","yellowgreen",0.36016947638917
"44","ENSG00000173566","NUDT18","white",0.754037675385288
"45","ENSG00000137642","SORL1","salmon",0.692948748979883
"46","ENSG00000153015","CWC27","magenta",0.435323958338969
"47","ENSG00000036448","MYOM2","lightcyan",0.343062317141737
"48","ENSG00000256885","AP001877.1","green",0.146468178679273
"49","ENSG00000185269","NOTUM","lightgreen",0.507756629713996
"50","ENSG00000164114","MAP9","magenta",0.597827170511567
"51","ENSG00000179632","MAF1","tan",0.581212973831813
"52","ENSG00000114861","FOXP1","magenta",0.607682981315941
