"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","white",TRUE,0.00286,33,137,6,0.044,0.182,"KEGG:03410","keg",1,"Base excision repair",1,"PARP3,NTHL1,XRCC1,MPG,POLL,FEN1",NA
"2","white",TRUE,0.00761,312,208,19,0.091,0.061,"REAC:73894","rea",2,"DNA Repair",1,"PNKP,NTHL1,XRCC1,XAB2,PALB2,MPG,POLR2I,INO80B,INO80,SLX1A,POLL,FEN1,GPS1,MGMT,RAD23A,C17ORF70,MCRS1,GTF2H4,RTEL1",NA
"3","lightsteelblue1",TRUE,0.0109,4,181,3,0.017,0.75,"GO:0060052","BP",4,"neurofilament cytoskeleton organization",1,"NEFH,NEFM,NEFL",9.42818262347145
"4","lightsteelblue1",TRUE,0.00275,3,181,3,0.017,1,"GO:0033693","BP",4,"neurofilament bundle assembly",2,"NEFH,NEFM,NEFL",10.4397835351499
"5","lightsteelblue1",TRUE,0.047,290,181,13,0.072,0.045,"GO:0015672","BP",7,"monovalent inorganic cation transport",1,"ATP1A3,SCN1B,KCNA1,KCNC1,KCNC3,ATP1B1,SCN1A,ATP5A1,ATP1A1,KCNAB3,SCN4B,STK39,MT-ATP6",4.88876381504614
"6","lightsteelblue1",TRUE,0.00204,8,181,4,0.022,0.5,"GO:0005883","CC",8,"neurofilament",1,"NEFH,NEFM,INA,NEFL",8.94044000450528
"7","lightsteelblue1",TRUE,0.0413,893,181,25,0.138,0.028,"GO:0022857","MF",5,"transmembrane transporter activity",1,"SLC25A5,CACNA2D2,SLC17A6,ATP1A3,SCN1B,KCNA1,SLC29A1,SLC25A12,SLC25A16,KCNC1,KCNC3,TIMM17A,SLC47A1,ATP1B1,SCN1A,ATP5A1,ATP2B2,COX7A1,ATP1A1,CHRFAM7A,SLC38A11,SCN4B,NDUFA4,ANXA6,MT-ATP6",3.36835814994915
"8","lightsteelblue1",TRUE,0.0138,23,90,4,0.044,0.174,"KEGG:04964","keg",3,"Proximal tubule bicarbonate reclamation",1,"MDH1,ATP1A3,ATP1B1,ATP1A1",NA
"9","lightsteelblue1",TRUE,0.0477,151,90,8,0.089,0.053,"KEGG:04261","keg",11,"Adrenergic signaling in cardiomyocytes",1,"CACNA2D2,ATP1A3,SCN1B,ATP1B1,CAMK2G,ATP2B2,ATP1A1,SCN4B",NA
"10","lightsteelblue1",TRUE,0.005,18,90,4,0.044,0.222,"KEGG:01210","keg",1,"2-Oxocarboxylic acid metabolism",1,"BCAT1,CS,GOT1,IDH3A",NA
